Country,Amt_2010,Amt_2011,Amt_2012,Amt_2013,Amt_2014,Amt_2015,Amt_2016,Amt_2017,latitude,longitude
Australia,23218,26597,26217,24825,25784,24046,26383,27462,-25.2744,133.7751
Brazil,34003,36936,33987,32875,32660,24618,24225,29284,-14.235,-51.9253
Canada,19361,21394,20452,18516,17854,17949,18133,20567,56.1304,-106.3468
China,115712,137967,157391,179881,200772,214093,216031,228231,34.5925,103.7905
France,61782,64601,60035,62417,63614,55342,57359,57770,46.7358,2.6598
Germany,46256,48140,46471,45931,46103,39813,41580,44330,51.0643,9.927
India,46090,49634,47217,47404,50014,51296,56638,63924,22.7515,79.2198
Israel,14573,16319,15456,17302,18481,16963,14783,16489,31.0298,34.8071
Japan,54655,60762,60012,49024,46881,42106,46472,45387,36.2591,138.5824
Russia,58720,70238,81469,88353,84697,66419,69246,66335,61.9962,75.6874
Saudi Arabia,45245,48531,56498,67020,80726,87186,63673,69414,23.7709,44.9407
South Korea,28175,30992,31952,34137,37552,36571,36935,39153,36.5525,128.0964
Spain,19711,19695,18861,17243,17179,15189,14015,16227,40.169,-3.5798
UK,58083,50270,58496,56962,59183,53862,48119,47193,52.5788,-1.4835
US,698180,711338,684780,639704,609914,596105,600107,609758,38.7586,-98.0759
